Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Poland,POL,-7.0279473310229,-2.30300903469373,-3.0056919876808,-4.54136329910865,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Afghanistan,AFG,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Albania,ALB,-6.04190259311611,-0.159586188747767,-6.1167675730608,-1.40469802400229,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Algeria,DZA,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Andorra,AND,-2.50183854268319,-1.67724359206964,3.91614077145198,1.70887873580949,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Angola,AGO,-3.51554820703032,1.33347600868841,1.74000837806902,-2.46468549298752,-1.3269424299549
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Argentina,ARG,-8.69549195205583,-4.37239542525685,-4.4270873191738,-3.59487367608309,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Armenia,ARM,-5.20256012930388,-4.42975111852096,-1.97675041152395,-1.89453123288948,-3.62695133102249
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Aruba,ABW,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Australia,AUS,-4.95342899920865,-6.84301416101114,-1.3473393407169,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Austria,AUT,-7.38422292263572,-5.14363123209743,-3.90401990701073,-2.01012551288218,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Azerbaijan,AZE,-5.26445167343868,4.8140053131223,10.9992276560822,5.79513465618005,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,"Bahamas, The",BHS,-7.83218419986105,-11.0938698263687,-5.19361424932359,-3.4954019304185,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Bahrain,BHR,-12.3991609022668,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Bangladesh,BGD,-3.94714517667321,-2.82210670529203,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Barbados,BRB,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Belarus,BLR,-1.30715914488835,-0.311627266379842,-1.63563862269731,1.32914609004033,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Belgium,BEL,-6.75000307277032,-3.72568013418511,-2.55730755122267,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Belize,BLZ,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Benin,BEN,..,..,..,..,..
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Bermuda,BMU,..,..,..,..,..
