CountryCode,Year,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support
AGO,2020,0.6930783242258652,0.5346083788706739,0.6502732240437158,0.6632513661202186,0.4193989071038251,0.372495446265938,0.7117486338797814,0.8121584699453552,0.3251366120218579,0.5027322404371585,24590.16393442623,0.0
AGO,2021,0.1187214611872146,0.6146118721461187,0.7808219178082192,0.8294520547945206,0.4493150684931506,0.3515981735159816,0.7616438356164383,0.6219178082191781,0.0,0.0,0.0,0.0
AGO,2022,0.0,0.7269406392694063,0.4191780821917808,0.1465753424657534,0.0520547945205479,0.1844748858447488,0.4767123287671233,0.3602739726027397,0.7315068493150685,0.0,,
ARE,2020,0.5537340619307832,0.3715846994535519,0.7950819672131147,0.7650273224043715,0.3155737704918033,0.0965391621129325,0.4385245901639344,0.605191256830601,0.0,1.5027322404371584,637425003.1154929,0.0
ARE,2021,0.4191780821917808,0.4913242009132419,0.7726027397260274,0.8931506849315068,0.2547945205479452,0.0292237442922374,0.5123287671232877,0.5568493150684931,0.0,1.5315068493150683,0.0,0.0
ARE,2022,0.2767123287671232,0.3716894977168949,0.5575342465753425,0.1787671232876712,0.1095890410958904,0.0,0.0794520547945205,0.2773972602739726,0.0,0.0,,
ARG,2020,0.7950819672131147,0.6493624772313297,0.8087431693989071,0.7868852459016393,0.7759562841530054,0.5601092896174863,0.7650273224043715,0.7636612021857924,0.7759562841530054,1.540983606557377,28879024.178054795,0.0
ARG,2021,0.5726027397260274,0.51324200913242,0.810958904109589,0.7746575342465754,0.873972602739726,0.582648401826484,0.8397260273972603,0.7897260273972603,0.7780821917808219,1.0,22362649.684210528,0.0
ARG,2022,0.0547945205479452,0.0,0.0,0.0,0.0068493150684931,0.0045662100456621,0.1095890410958904,0.1623287671232876,0.7945205479452054,0.3972602739726027,,
AZE,2020,0.7996357012750456,0.5610200364298724,0.8060109289617486,0.8005464480874317,0.4412568306010929,0.4990892531876138,0.7281420765027322,0.8271857923497268,1.3907103825136613,0.0,1639959.0051912568,27322.4043715847
